id,url,created_at,text,rs_related,has_media
2094392111479046177,https://x.com/1ChartMaster/status/2094392111479046177,2026-08-31T11:49:25.000Z,"$VLO
 
$MPC
 
$PSX
 All 3 gapping to new highs. 
If only there was a clue.............. 
Valero Energy Corp
VLO
$412.34
+2.25%
Phillips 66
PSX
$273.73
+3.44%",True,True
2094370135758844250,https://x.com/1ChartMaster/status/2094370135758844250,2026-08-31T10:22:06.000Z,"Subscribers
Printed RS  new highs last week and gapping to new highs this morning.   


$MPC
 

$VLO
Marathon Petroleum Corp
MPC
$422.27
+2.02%
Quote
Elite Swing Traders
@1ChartMaster
·
Aug 28
Subscribers
$MPC Printing RS new again.  $PSX $VLO also flagging at highs.",True,True
2093763815624016039,https://x.com/1ChartMaster/status/2093763815624016039,2026-08-29T18:12:48.000Z,"Patience is your ultimate edge in the market. Chasing random price action is a slow bleed, whereas sitting on your hands until a textbook high-tight flag, power earnings gap, or clean relative strength setup appears is how institutional-grade returns are built.

The Cost of
Show more",True,False
2093642407287959953,https://x.com/1ChartMaster/status/2093642407287959953,2026-08-29T10:10:22.000Z,"Subscribers
Testing the top of the range near $52-$53 with strong relative strength, clean continuation above the rising moving averages, and volume running 37% above average. Watching for expansion on the push through resistance.

$GCT
GigaCloud Technology Inc
GCT
$53.33
+3.27%",True,True
2093370750828716437,https://x.com/1ChartMaster/status/2093370750828716437,2026-08-28T16:10:54.000Z,"Subscribers
$MPC
 Printing RS new again.  
$PSX
 
$VLO
 also flagging at highs.
Phillips 66
PSX
$273.73
+3.44%
Valero Energy Corp
VLO
$412.34
+2.25%",True,True
2093051540990730480,https://x.com/1ChartMaster/status/2093051540990730480,2026-08-27T19:02:29.000Z,"Subscribers
$ZETA
 RS new high on the breakout",True,True
2092013084747366745,https://x.com/1ChartMaster/status/2092013084747366745,2026-08-24T22:16:01.000Z,"Subscribers
$ABNB
 Printed RS new high today.  Trimmed back my position at 20 points and now can remain patient and let it work.",True,True
2091572742739136712,https://x.com/1ChartMaster/status/2091572742739136712,2026-08-23T17:06:16.000Z,"Subscribers
August 24th, 2026 Weekly Watchlist


$ABNB
 Setup: Tight earnings flag / RS new high
Grade: A
Rating: 9.4 / 10
Breakout: Buy on a high-volume push through the top of the range / new highs.
Pullback: Stalk an orderly dip into the $280–$282 value zone. 


$AXON
 Setup: Rounding Bottom
Show more
Airbnb Inc
ABNB
$166.05
-0.87%
Dexcom Inc
DXCM
$87.96
+0.71%",True,False
2091296441780011068,https://x.com/1ChartMaster/status/2091296441780011068,2026-08-22T22:48:20.000Z,"Subscribers
$MRX
 Marex Group Limited sitting right beneath its all-time high of $75.40 following a stellar Q2 earnings report

The Setup & Chart Overview

Momentum: 
Displaying massive relative strength within an aggressive upward channel, backed by robust institutional accumulation.

Key
Show more",True,True
2090522685239411142,https://x.com/1ChartMaster/status/2090522685239411142,2026-08-20T19:33:42.000Z,"Subscribers
$MRVL
 Showing RS in a weak tape pushing back above key MA's.",True,True
2089772562649604600,https://x.com/1ChartMaster/status/2089772562649604600,2026-08-18T17:52:59.000Z,"Subscribers
$HALO
 pushing into new highs printing RS new high.",True,True
2089702043489374212,https://x.com/1ChartMaster/status/2089702043489374212,2026-08-18T13:12:46.000Z,"Subscribers
Weakness in Semis and more strength in energy not what I wanted to see.
Quote
Elite Swing Traders
@1ChartMaster
·
Aug 17
$PSX $VLO $MPC  more RS new highs.",True,True
