name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,earnings_date,earnings_soon,tradingview_url,is_top_1m,is_top_3m,is_top_6m
SBET,"Sharplink, Inc.",NASDAQ,Advertising/Marketing Services,10.23,8.1,7.32,5.49,6.06,10527382.6,9652365.96666669,98743704.0,78145555.0,29.99,20,105.01,7,46.14,146,60.38,6.55,2026-11-12,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SBET&interval=D,True,True,False
CLMT,"Calumet, Inc",NASDAQ,Oil Refining/Marketing,56.42,51.98,48.07,4.04,4.1,1554831.0,1284920.4,72495209.0,66796159.0,15.73,60,74.46,22,88.95,68,59.71,4.24,2026-11-06,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CLMT&interval=D,False,True,False
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,262.36,229.38,217.27,4.01,5.52,19154342.0,22686481.266666666,5952025225.0,5203870446.0,3.95,153,-6.95,257,167.82,19,54.94,3.76,2026-11-26,False,https://www.tradingview.com/chart/?symbol=NASDAQ:MRVL&interval=D,False,False,True
BMNR,"BitMine Immersion Technologies, Inc.",NYSE,Financial Conglomerates,28.76,23.26,20.83,5.2,6.07,45745399.9,44219161.86666667,1271743095.0,1028449267.0,29.26,22,91.73,15,41.81,152,54.27,6.27,2026-11-20,False,https://www.tradingview.com/chart/?symbol=NYSE:BMNR&interval=D,True,True,False
SMTC,Semtech Corporation,NASDAQ,Semiconductors,174.33,146.25,138.51,5.8,6.59,3742852.6,3473352.433333333,605509530.0,507967952.0,33.03,16,5.66,190,124.1,42,54.26,3.93,2026-12-02,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SMTC&interval=D,True,False,False
AEHR,Aehr Test Systems,NASDAQ,Electronic Production Equipment,100.6,98.23,93.72,6.83,8.82,2673851.7,2723570.1333333333,273991155.0,267540833.0,-7.28,273,-1.96,234,170.07,18,53.61,0.83,2026-10-06,False,https://www.tradingview.com/chart/?symbol=NASDAQ:AEHR&interval=D,False,False,True
SHAZ,"SharonAI Holdings, Inc.",NASDAQ,Data Processing Services,63.21,59.66,59.2,6.82,8.69,1475854.9,1675575.5,105913127.0,99958691.0,2.85,166,-26.05,363,158.11,23,44.97,0.78,2026-11-04,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SHAZ&interval=D,False,False,True
APPN,Appian Corporation,NASDAQ,Packaged Software,36.9,37.78,33.55,5.16,5.71,935159.3,861134.5,31775863.0,32529643.0,-1.07,195,80.53,17,55.43,123,44.96,1.75,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NASDAQ:APPN&interval=D,False,True,False
MSTR,Strategy Inc,NASDAQ,Internet Software/Services,167.33,125.22,113.8,4.68,5.61,25434783.4,27214737.466666665,4553842020.0,3407838497.0,39.81,11,63.28,34,22.54,196,41.88,8.39,2026-11-04,False,https://www.tradingview.com/chart/?symbol=NASDAQ:MSTR&interval=D,True,False,False
PBF,PBF Energy Inc.,NYSE,Oil Refining/Marketing,71.44,73.33,69.55,5.95,6.25,5007950.9,3402036.7666666666,243041507.0,249471356.0,1.58,173,79.36,19,43.6,149,41.51,0.43,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NYSE:PBF&interval=D,False,True,False
SWKS,"Skyworks Solutions, Inc.",NASDAQ,Semiconductors,89.96,74.6,69.82,6.19,5.22,9790821.3,6984313.3,628308824.0,521025116.0,32.45,18,22.33,113,61.8,111,38.86,5.53,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SWKS&interval=D,True,False,False
BLSH,Bullish,NYSE,Packaged Software,40.7,32.29,28.74,5.89,6.17,1896658.8,1809207.7666666666,73634756.0,58415097.0,36.81,14,63.78,33,12.12,233,37.57,6.75,2026-11-25,False,https://www.tradingview.com/chart/?symbol=NYSE:BLSH&interval=D,True,False,False
BE,Bloom Energy Corporation,NYSE,Electronic Production Equipment,276.53,237.44,226.85,5.73,6.71,18920378.8,14917947.9,4125260133.0,3542087713.0,34.09,15,-15.58,311,90.71,66,36.41,3.27,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NYSE:BE&interval=D,True,False,False
WIX,Wix.com Ltd.,NASDAQ,Packaged Software,80.1,79.9,70.4,6.17,6.26,1064593.2,1548814.6333333333,124060052.0,123757001.0,-2.89,211,99.2,11,-10.12,318,28.73,2.2,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NASDAQ:WIX&interval=D,False,True,False
GRML,Greenland Mines Ltd,NASDAQ,Miscellaneous Commercial Services,14.15,6.68,7.93,7.79,13.8,32716948.7,11377849.719333332,160996574.0,76038170.0,70.48,3,8.85,177,-20.51,364,19.61,5.68,,False,https://www.tradingview.com/chart/?symbol=NASDAQ:GRML&interval=D,True,False,False
CRML,Critical Metals Corp.,NASDAQ,Precious Metals,8.54,7.02,6.77,5.89,8.53,12878589.2,9412178.766666668,80380007.0,66108006.0,42.33,10,-10.58,282,10.19,240,13.98,3.06,2027-03-03,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CRML&interval=D,True,False,False
RBLX,Roblox Corporation,NYSE,Packaged Software,49.87,42.15,43.7,4.36,4.85,9415209.8,10616764.366666667,529458039.0,447482462.0,28.73,23,6.11,188,-10.14,319,8.23,2.91,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NYSE:RBLX&interval=D,True,False,False
FTFT,Future FinTech Group Inc.,NASDAQ,Finance/Rental/Leasing,4.02,3.31,3.81,36.3,33.17,30438285.0,10805780.416666666,43439237.0,35764324.0,46.72,7,-61.92,439,-79.74,445,-31.65,0.17,,False,https://www.tradingview.com/chart/?symbol=NASDAQ:FTFT&interval=D,True,False,False
CAPR,"Capricor Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,9.34,8.14,9.76,6.71,9.95,2732311.7,8721823.533333333,81461832.0,71002912.0,37.15,13,-68.74,444,-68.27,442,-33.29,-0.44,2026-11-17,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CAPR&interval=D,True,False,False
