scope,window,industry,members,median_pct,mean_pct,slug
finviz,1m,REIT - Hotel & Motel,,-5.55,-5.55,reithotelmotel
finviz,3m,REIT - Hotel & Motel,,-6.0,-6.0,reithotelmotel
finviz,6m,REIT - Hotel & Motel,,26.9,26.9,reithotelmotel
finviz,1w,Communication Equipment,,1.25,1.25,communicationequipment
finviz,1m,Communication Equipment,,0.49,0.49,communicationequipment
finviz,3m,Communication Equipment,,-5.8,-5.8,communicationequipment
finviz,6m,Communication Equipment,,19.21,19.21,communicationequipment
finviz,1w,Pollution & Treatment Controls,,1.19,1.19,pollutiontreatmentcontrols
finviz,1m,Pollution & Treatment Controls,,-3.54,-3.54,pollutiontreatmentcontrols
finviz,3m,Pollution & Treatment Controls,,-0.49,-0.49,pollutiontreatmentcontrols
finviz,6m,Pollution & Treatment Controls,,8.34,8.34,pollutiontreatmentcontrols
finviz,1w,Rental & Leasing Services,,1.15,1.15,rentalleasingservices
finviz,1m,Rental & Leasing Services,,-5.95,-5.95,rentalleasingservices
finviz,3m,Rental & Leasing Services,,-6.43,-6.43,rentalleasingservices
finviz,6m,Rental & Leasing Services,,18.36,18.36,rentalleasingservices
finviz,1w,Internet Retail,,1.13,1.13,internetretail
finviz,1m,Internet Retail,,-5.74,-5.74,internetretail
finviz,3m,Internet Retail,,6.34,6.34,internetretail
finviz,6m,Internet Retail,,14.31,14.31,internetretail
finviz,1w,Lumber & Wood Production,,1.08,1.08,lumberwoodproduction
finviz,1m,Lumber & Wood Production,,-3.55,-3.55,lumberwoodproduction
finviz,3m,Lumber & Wood Production,,-6.74,-6.74,lumberwoodproduction
finviz,6m,Lumber & Wood Production,,2.46,2.46,lumberwoodproduction
finviz,1w,Drug Manufacturers - General,,1.06,1.06,drugmanufacturersgeneral
finviz,1m,Drug Manufacturers - General,,-4.75,-4.75,drugmanufacturersgeneral
finviz,3m,Drug Manufacturers - General,,6.17,6.17,drugmanufacturersgeneral
finviz,6m,Drug Manufacturers - General,,14.15,14.15,drugmanufacturersgeneral
finviz,1w,Department Stores,,1.05,1.05,departmentstores
finviz,1m,Department Stores,,-2.21,-2.21,departmentstores
finviz,3m,Department Stores,,-1.76,-1.76,departmentstores
finviz,6m,Department Stores,,18.93,18.93,departmentstores
finviz,1w,Business Equipment & Supplies,,0.99,0.99,businessequipmentsupplies
finviz,1m,Business Equipment & Supplies,,-0.27,-0.27,businessequipmentsupplies
finviz,3m,Business Equipment & Supplies,,5.06,5.06,businessequipmentsupplies
finviz,6m,Business Equipment & Supplies,,18.47,18.47,businessequipmentsupplies
finviz,1w,Solar,,0.92,0.92,solar
finviz,1m,Solar,,-6.76,-6.76,solar
finviz,3m,Solar,,-27.9,-27.9,solar
finviz,6m,Solar,,-20.75,-20.75,solar
finviz,1w,Utilities - Renewable,,0.92,0.92,utilitiesrenewable
finviz,1m,Utilities - Renewable,,-6.89,-6.89,utilitiesrenewable
finviz,3m,Utilities - Renewable,,-23.41,-23.41,utilitiesrenewable
finviz,6m,Utilities - Renewable,,-15.05,-15.05,utilitiesrenewable
finviz,1w,Specialty Chemicals,,0.88,0.88,specialtychemicals
finviz,1m,Specialty Chemicals,,-4.81,-4.81,specialtychemicals
finviz,3m,Specialty Chemicals,,-5.03,-5.03,specialtychemicals
finviz,6m,Specialty Chemicals,,-0.39,-0.39,specialtychemicals
finviz,1w,Capital Markets,,0.84,0.84,capitalmarkets
finviz,1m,Capital Markets,,-4.87,-4.87,capitalmarkets
finviz,3m,Capital Markets,,-2.77,-2.77,capitalmarkets
finviz,6m,Capital Markets,,16.84,16.84,capitalmarkets
finviz,1w,Engineering & Construction,,0.78,0.78,engineeringconstruction
finviz,1m,Engineering & Construction,,-3.86,-3.86,engineeringconstruction
finviz,3m,Engineering & Construction,,-17.39,-17.39,engineeringconstruction
finviz,6m,Engineering & Construction,,-1.37,-1.37,engineeringconstruction
finviz,1w,Pharmaceutical Retailers,,0.58,0.58,pharmaceuticalretailers
finviz,1m,Pharmaceutical Retailers,,7.32,7.32,pharmaceuticalretailers
finviz,3m,Pharmaceutical Retailers,,17.06,17.06,pharmaceuticalretailers
finviz,6m,Pharmaceutical Retailers,,10.01,10.01,pharmaceuticalretailers
finviz,1w,Health Information Services,,0.57,0.57,healthinformationservices
finviz,1m,Health Information Services,,3.01,3.01,healthinformationservices
finviz,3m,Health Information Services,,29.86,29.86,healthinformationservices
finviz,6m,Health Information Services,,39.99,39.99,healthinformationservices
finviz,1w,Gold,,0.56,0.56,gold
finviz,1m,Gold,,-9.86,-9.86,gold
finviz,3m,Gold,,25.32,25.32,gold
finviz,6m,Gold,,11.58,11.58,gold
finviz,1w,Uranium,,0.49,0.49,uranium
finviz,1m,Uranium,,-13.04,-13.04,uranium
finviz,3m,Uranium,,-12.42,-12.42,uranium
finviz,6m,Uranium,,-17.81,-17.81,uranium
finviz,1w,Utilities - Independent Power Producers,,0.38,0.38,utilitiesindependentpowerproducers
finviz,1m,Utilities - Independent Power Producers,,-2.78,-2.78,utilitiesindependentpowerproducers
finviz,3m,Utilities - Independent Power Producers,,-12.51,-12.51,utilitiesindependentpowerproducers
finviz,6m,Utilities - Independent Power Producers,,-14.04,-14.04,utilitiesindependentpowerproducers
finviz,1w,Software - Application,,0.32,0.32,softwareapplication
finviz,1m,Software - Application,,-3.22,-3.22,softwareapplication
finviz,3m,Software - Application,,24.04,24.04,softwareapplication
finviz,6m,Software - Application,,19.88,19.88,softwareapplication
finviz,1w,Other Industrial Metals & Mining,,0.31,0.31,otherindustrialmetalsmining
finviz,1m,Other Industrial Metals & Mining,,-10.96,-10.96,otherindustrialmetalsmining
finviz,3m,Other Industrial Metals & Mining,,0.03,0.03,otherindustrialmetalsmining
finviz,6m,Other Industrial Metals & Mining,,11.51,11.51,otherindustrialmetalsmining
finviz,1w,Auto Parts,,0.3,0.3,autoparts
finviz,1m,Auto Parts,,-5.3,-5.3,autoparts
finviz,3m,Auto Parts,,-7.44,-7.44,autoparts
finviz,6m,Auto Parts,,-2.5,-2.5,autoparts
finviz,1w,Biotechnology,,0.12,0.12,biotechnology
finviz,1m,Biotechnology,,-5.32,-5.32,biotechnology
finviz,3m,Biotechnology,,8.56,8.56,biotechnology
finviz,6m,Biotechnology,,23.07,23.07,biotechnology
finviz,1w,Apparel Manufacturing,,0.1,0.1,apparelmanufacturing
finviz,1m,Apparel Manufacturing,,-11.51,-11.51,apparelmanufacturing
finviz,3m,Apparel Manufacturing,,-14.88,-14.88,apparelmanufacturing
finviz,6m,Apparel Manufacturing,,-7.97,-7.97,apparelmanufacturing
finviz,1w,Household & Personal Products,,0.06,0.06,householdpersonalproducts
finviz,1m,Household & Personal Products,,-3.42,-3.42,householdpersonalproducts
finviz,3m,Household & Personal Products,,-1.51,-1.51,householdpersonalproducts
finviz,6m,Household & Personal Products,,3.71,3.71,householdpersonalproducts
finviz,1w,Drug Manufacturers - Specialty & Generic,,0.03,0.03,drugmanufacturersspecialtygeneric
