name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.W,perf_1w_rank,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,earnings_date,earnings_soon,tradingview_url,is_top_1w,is_top_1m,is_top_3m,is_top_6m
AEHR,Aehr Test Systems,NASDAQ,Electronic Production Equipment,97.42,96.51,94.42,7.33,8.92,2329296.7,2676748.0,260768790.0,258336518.0,9.52,76,-4.34,223,2.01,198,183.86,19,60.51,0.36,2026-10-06,False,https://www.tradingview.com/chart/?symbol=NASDAQ:AEHR&interval=D,False,False,False,True
BMNR,"BitMine Immersion Technologies, Inc.",NYSE,Financial Conglomerates,28.03,23.91,21.3,5.06,6.01,47212777.7,45153510.53333333,1265652900.0,1079545181.0,19.45,25,17.77,58,115.62,8,46.83,141,60.07,5.26,2026-11-20,False,https://www.tradingview.com/chart/?symbol=NYSE:BMNR&interval=D,False,False,True,False
CVI,CVR Energy Inc.,NYSE,Oil Refining/Marketing,51.3,44.38,40.2,5.33,4.89,1264795.1,1077679.9333333333,55284981.0,47825639.0,-1.12,225,36.62,14,90.35,16,48.31,139,58.43,5.65,2026-11-02,False,https://www.tradingview.com/chart/?symbol=NYSE:CVI&interval=D,False,True,True,False
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,258.95,232.4,219.1,4.11,5.32,18169395.6,22237564.233333334,5758417258.0,5167950628.0,7.86,90,9.09,107,-3.51,234,162.15,24,55.91,3.42,2026-11-26,False,https://www.tradingview.com/chart/?symbol=NASDAQ:MRVL&interval=D,False,False,False,True
BB,BlackBerry Limited,NYSE,Packaged Software,8.73,8.1,8.34,4.49,5.15,17703481.7,11962325.700000009,104431103.0,96878888.0,11.35,59,11.85,89,-13.39,301,168.62,22,55.69,0.92,2026-12-17,False,https://www.tradingview.com/chart/?symbol=NYSE:BB&interval=D,False,False,False,True
MSTR,Strategy Inc,NASDAQ,Internet Software/Services,161.61,129.65,116.37,4.58,5.62,26070620.5,27702055.533333335,4476929195.0,3591571500.0,24.41,10,35.69,15,94.17,10,24.43,202,51.43,6.91,2026-11-04,False,https://www.tradingview.com/chart/?symbol=NASDAQ:MSTR&interval=D,True,True,True,False
BFLY,"Butterfly Network, Inc.",NYSE,Medical Specialties,9.41,8.34,8.1,6.2,7.2,6735867.6,5219192.366666666,49112600.0,43515886.0,25.97,9,3.63,137,17.33,135,130.07,41,50.35,2.26,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NYSE:BFLY&interval=D,True,False,False,False
APPN,Appian Corporation,NASDAQ,Packaged Software,37.61,37.95,34.05,5.17,5.46,878164.2,854041.9333333333,32120517.0,32410891.0,0.53,197,-2.44,196,80.3,21,57.4,116,45.09,1.91,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NASDAQ:APPN&interval=D,False,False,True,False
COHU,"Cohu, Inc.",NASDAQ,Semiconductors,63.7,54.24,52.77,4.99,5.85,1021648.6,973882.1,62036290.0,52825475.0,19.67,22,19.98,47,-2.66,230,114.55,51,43.96,3.54,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NASDAQ:COHU&interval=D,True,False,False,False
NUAI,"New Era Energy & Digital, Inc.",NASDAQ,Engineering & Construction,6.94,5.61,5.36,8.51,9.53,9658169.8,7567437.3,52518015.0,42416747.0,20.7,20,41.63,10,22.83,115,63.29,108,42.59,3.09,2026-12-02,False,https://www.tradingview.com/chart/?symbol=NASDAQ:NUAI&interval=D,True,True,False,False
BLSH,Bullish,NYSE,Packaged Software,39.69,33.31,29.34,5.86,6.05,1912517.2,1811407.2666666666,71894754.0,60336768.0,19.33,27,32.3,20,82.4,20,11.99,243,42.23,5.83,2026-11-25,False,https://www.tradingview.com/chart/?symbol=NYSE:BLSH&interval=D,False,True,True,False
SWKS,"Skyworks Solutions, Inc.",NASDAQ,Semiconductors,87.81,75.97,71.12,6.22,5.22,9075644.6,6992183.9,613983668.0,531226510.0,1.22,181,31.12,22,29.09,92,56.5,119,38.9,4.5,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SWKS&interval=D,False,True,False,False
INOD,Innodata Inc.,NASDAQ,Data Processing Services,71.87,59.16,60.24,5.14,5.75,1977984.0,1350299.3666666667,97046015.0,79883485.0,24.15,11,24.32,33,-0.17,209,79.41,82,34.52,3.36,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NASDAQ:INOD&interval=D,True,False,False,False
VICR,Vicor Corporation,NASDAQ,Electronic Components,276.06,208.83,211.57,5.39,6.53,1162834.7,906165.6333333333,250156085.0,189236079.0,33.65,6,39.78,12,-13.6,304,77.33,87,34.5,4.67,2026-10-27,False,https://www.tradingview.com/chart/?symbol=NASDAQ:VICR&interval=D,True,True,False,False
GRML,Greenland Mines Ltd,NASDAQ,Miscellaneous Commercial Services,14.89,6.86,8.09,12.44,17.05,42174568.6,14546031.580666667,216590410.0,99836688.0,391.42,1,44.56,9,35.36,79,1.22,270,27.05,4.93,,False,https://www.tradingview.com/chart/?symbol=NASDAQ:GRML&interval=D,True,True,False,False
SG,"Sweetgreen, Inc.",NYSE,Restaurants,8.26,6.85,6.57,5.34,5.39,5158078.4,4974637.666666667,41090507.0,34099483.0,19.54,23,17.83,57,-6.56,254,68.57,101,26.61,4.79,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NYSE:SG&interval=D,True,False,False,False
WIX,Wix.com Ltd.,NASDAQ,Packaged Software,77.53,80.53,71.37,6.5,6.95,1206554.7,1563317.7,121204021.0,125899185.0,-3.57,264,-6.76,244,83.07,19,-12.36,329,21.32,1.24,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NASDAQ:WIX&interval=D,False,False,True,False
DAIC,"CID HoldCo, Inc.",NASDAQ,Miscellaneous,3.41,2.72,2.02,20.17,27.34,13395687.5,16159724.8,55104662.0,43904410.0,-17.23,448,-6.19,238,93.75,11,-31.11,399,18.82,2.52,,False,https://www.tradingview.com/chart/?symbol=NASDAQ:DAIC&interval=D,False,False,True,False
VCYT,"Veracyte, Inc.",NASDAQ,Medical Specialties,48.54,42.56,46.51,4.82,4.92,1690441.4,1421807.6333333333,69014543.0,60505261.0,22.36,14,15.54,69,-17.1,324,49.86,135,16.1,0.89,2026-11-10,False,https://www.tradingview.com/chart/?symbol=NASDAQ:VCYT&interval=D,True,False,False,False
SEI,"Solaris Energy Infrastructure, Inc.",NYSE,Oilfield Services/Equipment,70.1,60.05,58.71,5.17,6.15,2894972.6,2705242.9,189637527.0,162445327.0,4.63,133,29.03,24,-9.17,268,17.42,223,12.42,3.15,2026-11-02,False,https://www.tradingview.com/chart/?symbol=NYSE:SEI&interval=D,False,True,False,False
CRML,Critical Metals Corp.,NASDAQ,Precious Metals,8.17,7.11,6.78,6.86,9.15,14772844.3,10081872.266666668,82368896.0,71655227.0,19.97,21,21.4,42,-10.61,282,11.46,245,7.41,2.23,2027-03-03,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CRML&interval=D,True,False,False,False
RMBS,"Rambus, Inc.",NASDAQ,Semiconductors,104.55,90.45,93.13,4.27,5.26,3598973.4,2451218.6666666665,256274912.0,221724167.0,23.8,13,16.19,65,-11.54,287,16.08,231,6.91,2.33,2026-11-02,False,https://www.tradingview.com/chart/?symbol=NASDAQ:RMBS&interval=D,True,False,False,False
VKTX,"Viking Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,36.75,33.44,33.89,5.66,7.52,10536457.3,4728848.2,173785171.0,158126379.0,21.53,19,9.15,105,1.09,201,8.12,254,6.12,1.12,2026-10-28,False,https://www.tradingview.com/chart/?symbol=NASDAQ:VKTX&interval=D,True,False,False,False
FTFT,Future FinTech Group Inc.,NASDAQ,Finance/Rental/Leasing,4.42,3.39,3.73,36.74,30.32,21698253.3,11025299.008333333,48731822.0,37328502.0,-31.47,459,76.04,3,-58.5,452,-77.45,457,-19.97,0.61,,False,https://www.tradingview.com/chart/?symbol=NASDAQ:FTFT&interval=D,False,True,False,False
BIAF,"bioAffinity Technologies, Inc.",NASDAQ,Medical Specialties,7.83,7.48,8.15,29.08,27.6,3970211.4999999986,6587521.097777777,51580290.0,49293871.0,11.86,53,45.0,8,-38.28,423,-88.14,459,-27.14,-0.14,2026-11-18,False,https://www.tradingview.com/chart/?symbol=NASDAQ:BIAF&interval=D,False,True,False,False
BENF,Beneficient,NASDAQ,Investment Managers,1.45,1.76,2.31,36.76,39.77,56902444.0,18980366.166666668,27521531.0,33360714.0,103.94,3,-35.56,450,-59.94,454,-55.79,448,-50.43,-0.94,2026-11-12,False,https://www.tradingview.com/chart/?symbol=NASDAQ:BENF&interval=D,True,False,False,False
LHSW,Lianhe Sowell International Group Ltd,NASDAQ,Computer Processing Hardware,0.76,2.2,2.36,67.94,69.54,48185012.9,17322475.433333334,13218781.0,38063542.0,51.29,5,-74.9,460,-50.45,446,-71.8,454,-65.71,-0.97,,False,https://www.tradingview.com/chart/?symbol=NASDAQ:LHSW&interval=D,True,False,False,False
