name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,earnings_date,earnings_soon,tradingview_url,is_top_1m,is_top_3m,is_top_6m
FPS,"Forgent Power Solutions, Inc.",NYSE,Electrical Products,38.52,33.73,35.21,5.42,6.6,14721038.0,8244278.133333334,317569594.0,278090494.0,14.13,73,-35.04,404,20.6,204,-0.1,1.43,2026-12-02,False,https://www.tradingview.com/chart/?symbol=NYSE:FPS&interval=D,False,False,False
ORCL,Oracle Corporation,NYSE,Packaged Software,149.2,148.89,141.51,4.54,4.83,39350076.8,28712333.4,4283880143.0,4275075028.0,3.82,154,-8.17,261,3.69,259,-0.22,1.12,2026-12-14,False,https://www.tradingview.com/chart/?symbol=NYSE:ORCL&interval=D,False,False,False
ASND,Ascendis Pharma A/S,NASDAQ,Pharmaceuticals: Major,237.57,253.75,253.62,4.0,3.97,1011495.7,701327.1,166614279.0,177959765.0,-6.33,254,-0.95,227,6.6,250,-0.23,-1.59,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ASND&interval=D,False,False,False
FIG,FIGMA INC,NYSE,Packaged Software,21.8,25.15,24.62,5.87,6.88,15397441.2,15164699.333333334,330590445.0,381437682.0,-19.85,410,15.28,144,3.86,258,-0.24,-1.66,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NYSE:FIG&interval=D,False,False,False
TMDX,"TransMedics Group, Inc.",NASDAQ,Medical Specialties,88.07,88.43,83.76,4.68,4.69,832969.6,710227.2333333333,62549712.0,62808472.0,-3.34,221,17.02,133,-14.65,340,-0.32,1.1,2026-11-04,False,https://www.tradingview.com/chart/?symbol=NASDAQ:TMDX&interval=D,False,False,False
GLW,Corning Incorporated,NYSE,Electronic Components,159.69,154.53,153.88,4.19,5.46,9203764.2,9071272.766666668,1448591548.0,1401777733.0,3.8,155,-17.86,318,12.14,232,-0.64,0.69,2026-11-03,False,https://www.tradingview.com/chart/?symbol=NYSE:GLW&interval=D,False,False,False
NG,Novagold Resources Inc.,AMEX,Precious Metals,7.77,8.07,7.28,4.88,5.85,7115161.5,5615095.066666666,43629289.0,45325047.0,-13.86,358,12.61,161,-1.02,280,-0.76,1.15,2026-10-06,False,https://www.tradingview.com/chart/?symbol=AMEX:NG&interval=D,False,False,False
IONQ,"IonQ, Inc.",NYSE,Computer Processing Hardware,40.74,40.77,39.24,5.12,6.09,18277668.5,18448759.0,751602442.0,752075960.0,-3.46,223,-28.96,382,29.77,175,-0.89,0.63,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NYSE:IONQ&interval=D,False,False,False
KOS,Kosmos Energy Ltd.,NYSE,Integrated Oil,2.57,2.8,2.66,5.28,5.95,13185434.7,11748471.0,30193570.0,32876138.0,-14.9,367,16.03,141,-5.17,298,-1.35,-0.59,2026-11-09,False,https://www.tradingview.com/chart/?symbol=NYSE:KOS&interval=D,False,False,False
VRDN,"Viridian Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,22.12,22.94,21.73,4.17,3.99,1786848.3,1491751.2333333334,32997537.0,34227238.0,-10.26,311,26.4,104,-20.55,365,-1.47,0.46,2026-11-16,False,https://www.tradingview.com/chart/?symbol=NASDAQ:VRDN&interval=D,False,False,False
CECO,CECO Environmental Corp.,NASDAQ,Industrial Machinery,73.71,73.53,73.55,5.18,5.68,840391.5,778984.3,57418933.0,57279495.0,-0.99,193,-24.22,353,20.58,205,-1.54,0.04,2026-11-09,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CECO&interval=D,False,False,False
INSM,Insmed Incorporated,NASDAQ,Pharmaceuticals: Major,120.82,125.08,118.63,4.17,4.13,2279908.6,1963737.3666666667,237258749.0,245618379.0,-3.51,224,16.85,136,-18.61,353,-1.76,0.45,2026-10-22,False,https://www.tradingview.com/chart/?symbol=NASDAQ:INSM&interval=D,False,False,False
FRPT,"Freshpet, Inc.",NASDAQ,Food: Specialty/Candy,60.13,69.19,65.7,4.09,4.16,1173983.3,1135071.0333333334,68251821.0,78533673.0,-19.11,405,12.56,162,1.04,270,-1.84,-2.04,2026-11-09,False,https://www.tradingview.com/chart/?symbol=NASDAQ:FRPT&interval=D,False,False,False
KVYO,"Klaviyo, Inc. Series A",NYSE,Packaged Software,15.87,17.86,17.8,5.95,6.42,7104571.0,6295901.633333334,99915959.0,112444803.0,-12.13,341,16.86,134,-11.83,326,-2.37,-1.69,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NYSE:KVYO&interval=D,False,False,False
RGTI,"Rigetti Computing, Inc.",NASDAQ,Computer Processing Hardware,16.52,16.33,15.98,4.64,5.72,15595284.3,16494261.633333333,272485202.0,269359540.0,1.26,175,-20.62,337,11.85,234,-2.5,0.6,2026-11-16,False,https://www.tradingview.com/chart/?symbol=NASDAQ:RGTI&interval=D,False,False,False
UCTT,"Ultra Clean Holdings, Inc.",NASDAQ,Industrial Machinery,76.55,74.41,80.44,4.45,6.46,802926.3,896694.3666666667,68641954.0,66722878.0,3.59,159,-32.25,397,21.1,201,-2.52,-0.75,2026-10-28,False,https://www.tradingview.com/chart/?symbol=NASDAQ:UCTT&interval=D,False,False,False
TTMI,"TTM Technologies, Inc.",NASDAQ,Electronic Components,127.47,121.91,125.2,4.99,6.35,1887615.4,2188142.6,278922537.0,266759382.0,10.58,91,-40.43,417,22.26,197,-2.53,0.29,2026-11-04,False,https://www.tradingview.com/chart/?symbol=NASDAQ:TTMI&interval=D,False,False,False
MBLY,Mobileye Global Inc.,NASDAQ,Packaged Software,7.68,8.49,8.52,4.36,4.66,5639003.1,4182939.566666667,32124976.0,35503397.0,-15.6,374,-3.52,240,11.3,236,-2.61,-2.11,2026-10-22,False,https://www.tradingview.com/chart/?symbol=NASDAQ:MBLY&interval=D,False,False,False
HCC,"Warrior Met Coal, Inc.",NYSE,Coal,92.1,100.37,93.21,4.59,4.75,770065.1,617088.3,56833832.0,61939004.0,-12.45,347,8.63,178,-4.26,294,-2.69,-0.25,2026-11-04,False,https://www.tradingview.com/chart/?symbol=NYSE:HCC&interval=D,False,False,False
ERAS,"Erasca, Inc.",NASDAQ,Pharmaceuticals: Major,15.55,17.0,17.73,6.36,6.8,5347185.1,4149152.3,64519318.0,70554952.0,-10.01,307,2.98,203,-2.14,281,-3.06,-1.81,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ERAS&interval=D,False,False,False
FIGS,"FIGS, Inc.",NYSE,Apparel/Footwear,12.95,14.22,12.82,4.63,4.93,2594595.3,2395481.3666666667,31021484.0,34074125.0,-11.12,328,18.16,127,-17.09,349,-3.35,0.21,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NYSE:FIGS&interval=D,False,False,False
GLOB,Globant S.A.,NYSE,Information Technology Services,35.01,38.57,36.94,4.72,5.63,1077098.9,1522800.2,53313235.0,58737449.0,-10.32,312,19.41,121,-19.18,357,-3.37,-0.93,2026-11-12,False,https://www.tradingview.com/chart/?symbol=NYSE:GLOB&interval=D,False,False,False
NVTS,Navitas Semiconductor Corporation,NASDAQ,Semiconductors,12.46,12.2,12.09,4.57,6.56,11358749.0,12227653.8,152356566.0,149132542.0,-5.5,246,-40.91,418,36.1,160,-3.43,0.47,2026-11-09,False,https://www.tradingview.com/chart/?symbol=NASDAQ:NVTS&interval=D,False,False,False
MIAX,"Miami International Holdings, Inc.",NYSE,Investment Banks/Brokers,36.76,41.74,42.64,4.71,4.84,1858927.9,1478022.4,54332103.0,61697089.0,-11.68,335,1.6,210,-0.92,279,-3.66,-2.85,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NYSE:MIAX&interval=D,False,False,False
VVX,"V2X, Inc.",NYSE,Miscellaneous Commercial Services,72.95,77.22,79.13,4.08,4.24,975644.1,634899.9333333333,46315950.0,49025280.0,-6.93,267,-10.22,278,6.08,252,-3.69,-1.84,2026-11-09,False,https://www.tradingview.com/chart/?symbol=NYSE:VVX&interval=D,False,False,False
HLNE,Hamilton Lane Incorporated,NASDAQ,Investment Managers,87.6,100.35,96.11,4.35,4.49,656061.3,585285.9666666667,51271051.0,58731496.0,-17.01,388,14.79,146,-11.65,324,-4.62,-1.97,2026-11-10,False,https://www.tradingview.com/chart/?symbol=NASDAQ:HLNE&interval=D,False,False,False
BRUN,Boost Run Inc.,NASDAQ,Packaged Software,17.09,18.19,19.44,7.75,10.07,2538554.6,2550899.066666667,43594865.0,46395327.0,-19.42,406,-50.19,433,55.31,125,-4.77,-1.2,2026-12-02,False,https://www.tradingview.com/chart/?symbol=NASDAQ:BRUN&interval=D,False,False,False
VG,"Venture Global, Inc.",NYSE,Oil & Gas Pipelines,12.91,14.37,14.01,4.84,5.25,16921737.5,14673682.6,189437242.0,210836363.0,-10.1,308,18.22,126,-24.19,380,-5.36,-1.49,2026-11-16,False,https://www.tradingview.com/chart/?symbol=NYSE:VG&interval=D,False,False,False
VAL,Valaris Limited,NYSE,Contract Drilling,82.72,85.81,82.57,4.74,4.36,1504375.9,1222984.6333333333,101165289.0,104948796.0,-8.07,282,8.4,182,-16.97,348,-5.55,0.04,2026-11-03,False,https://www.tradingview.com/chart/?symbol=NYSE:VAL&interval=D,False,False,False
AVAV,"AeroVironment, Inc.",NASDAQ,Aerospace & Defense,156.15,159.44,158.03,5.84,5.96,3209968.0,1920062.6666666667,299817785.0,306131911.0,-3.32,220,5.64,191,-19.94,360,-5.87,-0.2,2026-12-08,False,https://www.tradingview.com/chart/?symbol=NASDAQ:AVAV&interval=D,False,False,False
AXON,"Axon Enterprise, Inc.",NASDAQ,Aerospace & Defense,459.32,547.31,544.48,4.47,5.83,1211108.5,932712.3333333334,428413429.0,510481854.0,-26.37,432,6.26,187,2.48,264,-5.88,-2.68,2026-11-10,False,https://www.tradingview.com/chart/?symbol=NASDAQ:AXON&interval=D,False,False,False
BTU,Peabody Energy Corporation,NYSE,Coal,26.79,27.28,25.53,4.94,5.02,3121164.6,2468992.6666666665,66144314.0,67364819.0,-1.87,201,12.8,160,-29.31,395,-6.13,0.98,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NYSE:BTU&interval=D,False,False,False
BG,Bunge Limited,NYSE,Agricultural Commodities/Milling,110.0,116.53,115.51,4.05,4.09,2261863.0,1696869.4,186655634.0,197732797.0,-6.66,263,0.36,217,-12.78,330,-6.36,-1.17,2026-10-22,False,https://www.tradingview.com/chart/?symbol=NYSE:BG&interval=D,False,False,False
LUMN,"Lumen Technologies, Inc.",NYSE,Major Telecommunications,6.38,6.43,6.41,5.74,5.54,14518294.0,12683754.5,80922354.0,81590365.0,5.45,136,-17.89,319,-7.13,300,-6.52,-0.1,2026-11-04,False,https://www.tradingview.com/chart/?symbol=NYSE:LUMN&interval=D,False,False,False
ON,ON Semiconductor Corporation,NASDAQ,Semiconductors,73.6,74.42,78.73,4.56,5.0,13085576.7,9315763.3,685640179.0,693263579.0,-2.22,205,-37.17,410,19.09,214,-6.76,-1.3,2026-11-02,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ON&interval=D,False,False,False
CRWV,"CoreWeave, Inc.",NASDAQ,Packaged Software,86.76,89.52,85.07,5.52,6.62,34084074.3,30534283.9,2649154471.0,2733561410.0,-4.02,232,-16.23,312,-0.1,277,-6.79,0.3,2026-11-16,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CRWV&interval=D,False,False,False
FSLR,"First Solar, Inc.",NASDAQ,Semiconductors,200.78,209.6,213.13,4.63,4.74,2293008.2,2018066.2666666666,405187345.0,422980635.0,-6.61,261,-19.6,331,5.35,254,-6.95,-1.22,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NASDAQ:FSLR&interval=D,False,False,False
SOUN,"SoundHound AI, Inc.",NASDAQ,Packaged Software,6.12,6.77,6.66,4.03,4.99,20495170.7,23277821.6,142460268.0,157683964.0,-12.89,350,-4.38,246,-3.62,291,-6.96,-1.62,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SOUN&interval=D,False,False,False
RIG,Transocean Ltd (Switzerland),NYSE,Contract Drilling,5.49,5.77,5.55,4.87,4.53,48141576.7,43329039.333333336,237876426.0,249878570.0,-9.26,296,5.58,192,-18.67,354,-7.45,-0.22,2026-11-04,False,https://www.tradingview.com/chart/?symbol=NYSE:RIG&interval=D,False,False,False
MIRM,"Mirum Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,91.39,98.0,103.09,4.33,4.4,817418.0,606790.5,55454584.0,59463851.0,-6.41,255,-18.04,322,1.9,265,-7.52,-2.58,2026-11-17,False,https://www.tradingview.com/chart/?symbol=NASDAQ:MIRM&interval=D,False,False,False
PRAX,"Praxis Precision Medicines, Inc.",NASDAQ,Pharmaceuticals: Major,300.65,349.72,337.87,4.8,5.36,440420.1,370034.266666667,111250802.0,129410111.0,-18.82,403,-1.08,228,-3.61,290,-7.84,-2.05,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:PRAX&interval=D,False,False,False
CORZ,"Core Scientific, Inc.",NASDAQ,Packaged Software,18.79,18.02,19.5,5.16,6.04,11337686.7,11280453.433333334,211959720.0,203273771.0,0.05,187,-35.47,405,11.85,235,-7.86,-0.61,2026-11-11,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CORZ&interval=D,False,False,False
MP,MP Materials Corp.,NYSE,Other Metals/Minerals,51.04,54.41,50.9,4.56,5.5,5290087.4,5598343.4,285739447.0,304602132.0,-9.97,304,-10.91,285,-2.78,286,-7.89,0.05,2026-10-29,False,https://www.tradingview.com/chart/?symbol=NYSE:MP&interval=D,False,False,False
USAR,"USA Rare Earth, Inc.",NASDAQ,Metal Fabrication,16.99,17.59,16.97,4.89,6.43,13544771.7,13162639.7,223633249.0,231478182.0,-3.58,225,-24.42,355,4.23,257,-7.92,0.02,2026-11-05,False,https://www.tradingview.com/chart/?symbol=NASDAQ:USAR&interval=D,False,False,False
CE,Celanese Corporation,NYSE,Chemicals: Specialty,47.44,45.4,45.35,4.13,4.16,2178896.4,1639589.5666666667,77782129.0,74436273.0,0.94,179,-1.25,230,-23.69,379,-8.0,1.11,2026-11-09,False,https://www.tradingview.com/chart/?symbol=NYSE:CE&interval=D,False,False,False
DKNG,DraftKings Inc.,NASDAQ,Movies/Entertainment,21.8,24.41,24.18,4.75,5.29,12789273.6,10345032.266666668,225521703.0,252491203.0,-15.01,368,-12.73,294,3.32,261,-8.14,-1.86,2026-10-30,False,https://www.tradingview.com/chart/?symbol=NASDAQ:DKNG&interval=D,False,False,False
