scope,window,industry,members,median_pct,mean_pct
all,1w,Oil Refining/Marketing,12,-4.13,-4.98
all,1w,Air Freight/Couriers,28,-4.16,4.49
all,1w,Biotechnology,283,-4.36,-2.76
all,1w,Other Transportation,13,-4.41,-4.53
all,1w,Marine Shipping,68,-4.52,-4.88
all,1w,Auto Parts: OEM,33,-4.54,-7.16
all,1w,Construction Materials,16,-4.58,-0.16
all,1w,Water Utilities,11,-4.76,-4.77
all,1w,Home Improvement Chains,5,-4.83,-2.02
all,1w,Managed Health Care,8,-5.12,-5.84
all,1w,Environmental Services,16,-5.16,-5.84
all,1w,Specialty Insurance,12,-5.26,-5.94
all,1w,Trucking,21,-5.47,-6.14
all,1w,Chemicals: Agricultural,17,-5.5,-6.27
all,1w,Food: Major Diversified,8,-5.54,-7.46
all,1w,Food: Meat/Fish/Dairy,8,-5.54,-5.62
all,1w,Beverages: Non-Alcoholic,14,-5.71,-7.57
all,1w,Publishing: Newspapers,7,-5.85,-6.12
all,1w,Coal,10,-6.08,-6.29
all,1w,Casinos/Gaming,14,-6.19,-5.69
all,1w,Aluminum,5,-6.32,-5.14
all,1w,Insurance Brokers/Services,18,-6.73,-6.74
all,1w,Cable/Satellite TV,8,-7.59,-6.32
all,1w,Services to the Health Industry,3,-8.99,-7.66
all,3m,Oil Refining/Marketing,12,50.34,41.42
all,3m,Miscellaneous,4,16.21,22.54
all,3m,Precious Metals,70,15.9,15.88
all,3m,Marine Shipping,68,13.15,10.77
all,3m,Integrated Oil,42,12.39,8.55
all,3m,Oil & Gas Production,39,11.35,13.96
all,3m,Medical Distributors,8,7.18,6.82
all,3m,Contract Drilling,11,7.04,9.06
all,3m,Information Technology Services,88,6.69,9.66
all,3m,Medical/Nursing Services,56,6.64,1.69
all,3m,Hospital/Nursing Management,12,6.0,-0.79
all,3m,Electronics/Appliances,20,5.38,10.1
all,3m,Office Equipment/Supplies,4,5.33,7.4
all,3m,Financial Publishing/Services,8,4.03,6.88
all,3m,Commercial Printing/Forms,11,3.8,-16.59
all,3m,Discount Stores,3,3.53,5.29
all,3m,Computer Communications,11,3.48,3.83
all,3m,Publishing: Books/Magazines,5,3.23,-3.05
all,3m,Coal,10,3.17,-5.91
all,3m,Personnel Services,23,2.93,2.42
all,3m,Broadcasting,15,2.74,2.92
all,3m,Property/Casualty Insurance,48,2.38,6.01
all,3m,Savings Banks,39,2.27,3.55
all,3m,Department Stores,4,2.21,2.62
all,3m,Insurance Brokers/Services,18,1.91,-3.2
all,3m,Packaged Software,355,1.85,4.19
all,3m,Cable/Satellite TV,8,1.3,-3.07
all,3m,Financial Conglomerates,363,0.78,2.75
all,3m,Oil & Gas Pipelines,32,0.66,2.58
all,3m,Medical Specialties,207,0.41,4.44
all,3m,Railroads,6,0.31,0.13
all,3m,Water Utilities,11,0.24,0.75
all,3m,Industrial Conglomerates,3,0.22,-2.44
all,3m,Services to the Health Industry,3,-0.1,-2.02
all,3m,Investment Managers,85,-0.37,1.19
all,3m,Internet Software/Services,84,-0.56,-1.43
all,3m,Regional Banks,256,-0.56,-0.14
all,3m,Wholesale Distributors,72,-0.6,-2.4
all,3m,Investment Trusts/Mutual Funds,103,-0.98,-1.13
all,3m,Tools & Hardware,5,-1.09,-0.44
all,3m,Miscellaneous Commercial Services,153,-1.22,5.86
all,3m,Environmental Services,16,-1.52,-0.09
all,3m,Food: Specialty/Candy,39,-1.62,-4.03
all,3m,Investment Banks/Brokers,55,-1.78,1.49
all,3m,Oilfield Services/Equipment,33,-2.18,-2.46
all,3m,Metal Fabrication,17,-2.38,20.51
all,3m,Life/Health Insurance,27,-2.55,-1.52
all,3m,Finance/Rental/Leasing,127,-2.81,-5.07
all,3m,Wireless Telecommunications,16,-2.82,-4.24
all,3m,Major Banks,134,-2.99,-2.76
all,3m,Multi-Line Insurance,52,-3.0,-5.65
all,3m,Computer Processing Hardware,18,-3.04,0.14
all,3m,Computer Peripherals,21,-3.14,2.86
all,3m,Agricultural Commodities/Milling,31,-4.12,-7.47
all,3m,Chemicals: Agricultural,17,-4.32,-7.97
all,3m,Textiles,5,-4.51,0.59
all,3m,Data Processing Services,54,-4.96,-2.52
all,3m,Recreational Products,24,-5.1,0.41
all,3m,Electronics/Appliance Stores,4,-5.16,-5.0
all,3m,Specialty Telecommunications,8,-5.18,-6.8
all,3m,Steel,15,-5.49,-4.94
all,3m,Food: Major Diversified,8,-5.72,-13.37
all,3m,Managed Health Care,8,-5.74,-11.46
all,3m,Food Retail,15,-5.76,-8.49
all,3m,Specialty Stores,67,-5.96,-8.87
all,3m,Containers/Packaging,20,-5.99,-8.63
all,3m,Tobacco,3,-6.27,-9.38
all,3m,Real Estate Investment Trusts,340,-6.3,-7.8
all,3m,Real Estate Development,52,-6.63,-9.78
all,3m,Pharmaceuticals: Major,310,-6.8,-5.05
all,3m,Specialty Insurance,12,-6.86,-4.3
all,3m,Food Distributors,11,-7.33,-17.02
all,3m,Household/Personal Care,23,-7.38,-10.57
all,3m,Biotechnology,283,-7.41,-2.38
all,3m,Beverages: Alcoholic,10,-7.46,-3.01
all,3m,Other Metals/Minerals,68,-7.46,-7.37
all,3m,Telecommunications Equipment,32,-7.79,-4.67
all,3m,Internet Retail,28,-7.91,-10.52
all,3m,Other Transportation,13,-8.29,0.41
all,3m,Major Telecommunications,15,-8.35,-5.89
all,3m,Pulp & Paper,5,-8.38,-9.98
all,3m,Publishing: Newspapers,7,-8.4,-6.8
all,3m,Aerospace & Defense,78,-8.54,-8.66
all,3m,Industrial Specialties,18,-8.62,-1.54
all,3m,Automotive Aftermarket,5,-8.76,-11.32
all,3m,Restaurants,49,-8.87,-8.07
all,3m,Gas Distributors,21,-9.27,-11.96
all,3m,Movies/Entertainment,43,-9.9,-5.08
all,3m,Hotels/Resorts/Cruise lines,19,-10.0,-9.98
all,3m,Motor Vehicles,31,-10.07,-19.47
all,3m,Chemicals: Major Diversified,12,-10.14,-10.25
all,3m,Air Freight/Couriers,28,-10.29,-4.04
all,3m,Electronics Distributors,10,-10.3,-16.15
all,3m,Apparel/Footwear Retail,30,-10.34,-5.87
all,3m,Home Furnishings,18,-10.35,-13.76
all,3m,Chemicals: Specialty,56,-10.44,-10.24
all,3m,Other Consumer Services,35,-10.48,-10.18
all,3m,Electronic Equipment/Instruments,42,-10.55,3.84
all,3m,Beverages: Non-Alcoholic,14,-10.86,-18.77
